B000K2PJ4K::Great product and price!|Great product and price!|Great product and price!|Great product and price!|Great product and price!|Waaay too small. Will use for futur children!|Stays vibrant after many washes|Stays vibrant after many washes|My son really likes the pink. Ones which I was nervous about|Waaay too small. Will use for future child.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
B000KPIHQ4::Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist.|This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.|We have used these inserts for years.  They provide great support.|"Pinnacle seems to have more cushioning so my husband likes them better. He's tried all the other Powerstep inserts as well as other brands. This is his must have insert. He is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. He is very active and wears these in all his shoes. His bone spurs rarely bother him any more. Remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run."|Excellent insole with good support.|A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.|These insoles help my heels feel much better.  I would never wear a pair of athletic shoes with the original insoles.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
B000V0IBDM::Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist.|This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.|We have used these inserts for years.  They provide great support.|"Pinnacle seems to have more cushioning so my husband likes them better. He's tried all the other Powerstep inserts as well as other brands. This is his must have insert. He is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. He is very active and wears these in all his shoes. His bone spurs rarely bother him any more. Remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run."|Excellent insole with good support.|A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.|These insoles help my heels feel much better.  I would never wear a pair of athletic shoes with the original insoles.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
B000YFSR4W::great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.|Waaaay too BIG|Comfortable|Good product for the price.  Used very day and no problem.|Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.|Excellent value.  Comfortable.|Typical Hanes quality. Good weight, sized just right, made pretty well|"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.
B000YFSR5G::Waaaay too BIG|Comfortable|Good product for the price.  Used very day and no problem.|Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.|Excellent value.  Comfortable.|Typical Hanes quality. Good weight, sized just right, made pretty well|"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.
B0012DR1LU::Havaiana's are THE BEST!!!|Perfect color!|Havaiana's are THE BEST!!!|Perfect color!|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
B0014F7B98::Put them on and walked 3 hours with no problem! Love them! So light feeling|excelente|The shoes fit well in the arch area. They are a little wider in the toe area of the shoe, you feel like you have a lot of room. This does not make the shoe uncomfortable, just had to get used to it. Love the shoe.|Tried them on in a store before buying online so I knew they'd fit good. Overall I was looking for a durable cross training shoe that would hold up to my rigorous training and these have been great so far. They are really light and comfortable. Most importantly for me they have grips on the bottoms so my feet don't slide out from under me while doing planks, push-ups, etc. Highly satisfied with this purchase.|I recommend that!|My son likes these, and this is the 2nd pair he's worn.|Really great for walking I'm very glad I got these and the color is fun|Love these shoes. My feet feel so much better. Lots of padding and light enough to run in.|ok but too big|Love these shoes.. they are so comfortable.|In really like these. I wear between a 9-9.5 womens, I got the 9.5 and they fit perfectly. They are light weight but have good support. I will buy another pair.|"Love these shoes!
B0014F8TIU::Should have listened to other reviews. The elastics does not hold up.|Constantly rolls down|Superrrr thigh high. Im 54 and it easily reaches 3/4 up my thigh!!|I just wish they would not roll down.|Should have listened to other reviews. The elastics does not hold up.|Constantly rolls down|Superrrr thigh high. Im 54 and it easily reaches 3/4 up my thigh!!|I just wish they would not roll down.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
B0014HA6VG::Sadly, not a true red. It's definitely orange|Well made, soft, thick & so very colorful. Bought the just as gorgeous rich, red Fireman's scarf, too. My little fella is quite the fashion plate! And toasty, too!|Sadly, not a true red. It's definitely orange|Well made, soft, thick & so very colorful. Bought the just as gorgeous rich, red Fireman's scarf, too. My little fella is quite the fashion plate! And toasty, too!|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
B0017LD0BM::Not pretty for fashion but great around the house and work.|I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.|Excellent value|"they are fine for the value, particularly since I lose so many
B0017LGD34::Not pretty for fashion but great around the house and work.|I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.|Excellent value|"they are fine for the value, particularly since I lose so many
B001IKJOLW::Good light weight shoe...had to add insole for more support.|I love my tennis shoes|This is a shoe I will wear with black dress pants or jeans when I need comfort and a little style, but I am not impressed.  This is a very flimsy shoe with little support at all.  Not like any Nike I've ever purchased in the past.  It looks nice, but it's not comfortable.|Love it!! Super comfortable and nice!! Got more than I expected, super flexible great for training. Definetly recommend it.|Excelente|These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again|"For the price I spent on the pair of shoes, I'd say it's as good as expected.
B001LNSY2Q::great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.|So comfortable and soft.|"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable."|No pockets and huge, the bottom of the pants go over shoes|Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.|Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.|Very comfy for wearing at home.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
B003M6060S::Size, colour and print all above average but does not wash great.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
B0058YEJ5K::I really like them!|Good light weight shoe...had to add insole for more support.|I love my tennis shoes|This is a shoe I will wear with black dress pants or jeans when I need comfort and a little style, but I am not impressed.  This is a very flimsy shoe with little support at all.  Not like any Nike I've ever purchased in the past.  It looks nice, but it's not comfortable.|Love it!! Super comfortable and nice!! Got more than I expected, super flexible great for training. Definetly recommend it.|Excelente|These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again|"For the price I spent on the pair of shoes, I'd say it's as good as expected.
B005AGO4LU::These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again|"For the price I spent on the pair of shoes, I'd say it's as good as expected.
B0092UF54A::"For the price I spent on the pair of shoes, I'd say it's as good as expected.
